starttime	seconds	ctime	dtime	ttime	wait
Fri Nov 01 22:39:58 2024	1730515198	0	2	2	2
Fri Nov 01 22:39:58 2024	1730515198	0	2	2	2
Fri Nov 01 22:39:53 2024	1730515193	0	2	2	2
Fri Nov 01 22:39:58 2024	1730515198	0	2	2	2
Fri Nov 01 22:39:58 2024	1730515198	0	2	2	2
Fri Nov 01 22:39:55 2024	1730515195	0	2	2	2
Fri Nov 01 22:39:55 2024	1730515195	0	2	2	2
Fri Nov 01 22:39:53 2024	1730515193	0	2	2	2
Fri Nov 01 22:39:55 2024	1730515195	0	2	2	2
Fri Nov 01 22:39:58 2024	1730515198	0	2	2	2
Fri Nov 01 22:39:58 2024	1730515198	0	2	2	2
Fri Nov 01 22:39:58 2024	1730515198	0	2	2	2
Fri Nov 01 22:39:56 2024	1730515196	0	2	2	2
Fri Nov 01 22:39:53 2024	1730515193	0	2	2	2
Fri Nov 01 22:39:56 2024	1730515196	0	2	3	2
Fri Nov 01 22:39:56 2024	1730515196	0	3	3	2
Fri Nov 01 22:39:53 2024	1730515193	0	2	3	2
Fri Nov 01 22:39:56 2024	1730515196	0	2	3	2
Fri Nov 01 22:39:58 2024	1730515198	0	3	3	2
Fri Nov 01 22:39:56 2024	1730515196	0	3	3	2
Fri Nov 01 22:39:53 2024	1730515193	0	2	3	2
Fri Nov 01 22:39:56 2024	1730515196	0	3	3	2
Fri Nov 01 22:39:53 2024	1730515193	0	3	3	2
Fri Nov 01 22:39:57 2024	1730515197	0	3	3	2
Fri Nov 01 22:39:55 2024	1730515195	0	3	3	2
Fri Nov 01 22:39:55 2024	1730515195	0	3	3	2
Fri Nov 01 22:39:53 2024	1730515193	0	3	3	2
Fri Nov 01 22:39:53 2024	1730515193	0	3	3	2
Fri Nov 01 22:39:53 2024	1730515193	0	3	3	3
Fri Nov 01 22:39:56 2024	1730515196	0	3	3	3
Fri Nov 01 22:40:00 2024	1730515200	0	3	3	2
Fri Nov 01 22:40:00 2024	1730515200	0	3	3	2
Fri Nov 01 22:39:53 2024	1730515193	0	3	3	2
Fri Nov 01 22:39:54 2024	1730515194	0	3	3	2
Fri Nov 01 22:39:55 2024	1730515195	0	3	3	2
Fri Nov 01 22:39:56 2024	1730515196	0	3	3	2
Fri Nov 01 22:39:55 2024	1730515195	0	3	3	2
Fri Nov 01 22:40:03 2024	1730515203	0	3	3	1
Fri Nov 01 22:39:55 2024	1730515195	0	3	3	2
Fri Nov 01 22:39:55 2024	1730515195	0	3	3	3
Fri Nov 01 22:40:01 2024	1730515201	0	3	3	1
Fri Nov 01 22:40:00 2024	1730515200	0	3	3	3
Fri Nov 01 22:39:55 2024	1730515195	0	3	3	2
Fri Nov 01 22:39:55 2024	1730515195	0	3	3	2
Fri Nov 01 22:40:01 2024	1730515201	0	3	3	2
Fri Nov 01 22:39:54 2024	1730515194	0	3	3	3
Fri Nov 01 22:39:57 2024	1730515197	0	3	3	2
Fri Nov 01 22:39:55 2024	1730515195	0	3	3	2
Fri Nov 01 22:39:55 2024	1730515195	0	3	3	2
Fri Nov 01 22:40:01 2024	1730515201	0	3	3	2
Fri Nov 01 22:39:56 2024	1730515196	0	3	3	2
Fri Nov 01 22:40:01 2024	1730515201	0	3	3	1
Fri Nov 01 22:39:54 2024	1730515194	0	3	3	2
Fri Nov 01 22:40:00 2024	1730515200	0	3	3	3
Fri Nov 01 22:40:03 2024	1730515203	0	3	3	3
Fri Nov 01 22:39:54 2024	1730515194	0	3	3	3
Fri Nov 01 22:39:54 2024	1730515194	0	3	3	2
Fri Nov 01 22:39:54 2024	1730515194	0	3	3	2
Fri Nov 01 22:39:57 2024	1730515197	0	3	3	2
Fri Nov 01 22:39:56 2024	1730515196	0	3	3	2
Fri Nov 01 22:39:57 2024	1730515197	0	3	3	2
Fri Nov 01 22:39:58 2024	1730515198	0	3	3	3
Fri Nov 01 22:39:54 2024	1730515194	0	3	3	2
Fri Nov 01 22:39:59 2024	1730515199	0	3	3	2
Fri Nov 01 22:39:55 2024	1730515195	0	3	3	2
Fri Nov 01 22:39:59 2024	1730515199	0	3	3	2
Fri Nov 01 22:39:54 2024	1730515194	0	3	3	2
Fri Nov 01 22:39:55 2024	1730515195	0	3	3	2
Fri Nov 01 22:39:59 2024	1730515199	0	3	3	1
Fri Nov 01 22:39:57 2024	1730515197	0	3	3	2
Fri Nov 01 22:39:54 2024	1730515194	0	3	3	2
Fri Nov 01 22:40:03 2024	1730515203	0	3	3	1
Fri Nov 01 22:39:57 2024	1730515197	0	3	3	1
Fri Nov 01 22:39:56 2024	1730515196	0	3	3	2
Fri Nov 01 22:39:55 2024	1730515195	0	3	3	2
Fri Nov 01 22:39:55 2024	1730515195	0	3	3	2
Fri Nov 01 22:40:01 2024	1730515201	0	3	3	1
Fri Nov 01 22:40:02 2024	1730515202	0	3	3	2
Fri Nov 01 22:39:55 2024	1730515195	0	3	3	2
Fri Nov 01 22:39:54 2024	1730515194	0	3	3	3
Fri Nov 01 22:39:59 2024	1730515199	0	3	3	1
Fri Nov 01 22:39:55 2024	1730515195	0	3	3	2
Fri Nov 01 22:39:54 2024	1730515194	0	3	3	2
Fri Nov 01 22:40:00 2024	1730515200	0	3	3	3
Fri Nov 01 22:40:02 2024	1730515202	0	3	3	2
Fri Nov 01 22:40:02 2024	1730515202	0	3	3	2
Fri Nov 01 22:39:59 2024	1730515199	0	3	3	2
Fri Nov 01 22:39:55 2024	1730515195	0	3	3	2
Fri Nov 01 22:39:55 2024	1730515195	0	3	3	2
Fri Nov 01 22:39:56 2024	1730515196	0	3	3	3
Fri Nov 01 22:39:56 2024	1730515196	0	3	3	2
Fri Nov 01 22:40:03 2024	1730515203	0	3	3	2
Fri Nov 01 22:39:57 2024	1730515197	0	3	3	2
Fri Nov 01 22:39:56 2024	1730515196	0	3	3	3
Fri Nov 01 22:40:03 2024	1730515203	0	3	3	2
Fri Nov 01 22:39:56 2024	1730515196	0	3	3	2
Fri Nov 01 22:39:53 2024	1730515193	1	3	3	1
Fri Nov 01 22:39:57 2024	1730515197	0	3	3	2
Fri Nov 01 22:39:59 2024	1730515199	0	3	3	3
Fri Nov 01 22:39:59 2024	1730515199	0	3	3	2
Fri Nov 01 22:40:03 2024	1730515203	0	3	3	2
Fri Nov 01 22:40:01 2024	1730515201	0	3	3	2
Fri Nov 01 22:39:55 2024	1730515195	0	3	3	2
Fri Nov 01 22:39:56 2024	1730515196	0	3	3	2
Fri Nov 01 22:39:54 2024	1730515194	0	3	3	2
Fri Nov 01 22:40:01 2024	1730515201	0	3	3	3
Fri Nov 01 22:39:56 2024	1730515196	0	3	3	3
Fri Nov 01 22:39:59 2024	1730515199	0	3	3	2
Fri Nov 01 22:40:00 2024	1730515200	0	3	3	2
Fri Nov 01 22:39:56 2024	1730515196	0	3	3	3
Fri Nov 01 22:40:00 2024	1730515200	0	3	3	2
Fri Nov 01 22:39:54 2024	1730515194	0	3	3	2
Fri Nov 01 22:39:55 2024	1730515195	0	3	3	3
Fri Nov 01 22:39:56 2024	1730515196	0	3	3	2
Fri Nov 01 22:39:53 2024	1730515193	0	3	3	2
Fri Nov 01 22:40:01 2024	1730515201	0	3	3	3
Fri Nov 01 22:40:03 2024	1730515203	0	3	3	2
Fri Nov 01 22:39:57 2024	1730515197	0	3	3	2
Fri Nov 01 22:40:01 2024	1730515201	0	3	3	2
Fri Nov 01 22:40:03 2024	1730515203	0	3	3	1
Fri Nov 01 22:40:00 2024	1730515200	0	3	3	2
Fri Nov 01 22:40:03 2024	1730515203	0	3	3	1
Fri Nov 01 22:39:54 2024	1730515194	0	3	3	2
Fri Nov 01 22:40:00 2024	1730515200	0	3	3	2
Fri Nov 01 22:39:59 2024	1730515199	0	3	3	2
Fri Nov 01 22:40:03 2024	1730515203	0	3	4	2
Fri Nov 01 22:40:01 2024	1730515201	0	3	4	3
Fri Nov 01 22:40:00 2024	1730515200	0	3	4	2
Fri Nov 01 22:39:54 2024	1730515194	0	4	4	2
Fri Nov 01 22:39:54 2024	1730515194	0	3	4	2
Fri Nov 01 22:40:01 2024	1730515201	0	4	4	2
Fri Nov 01 22:40:03 2024	1730515203	0	3	4	1
Fri Nov 01 22:40:03 2024	1730515203	0	3	4	2
Fri Nov 01 22:39:54 2024	1730515194	0	4	4	2
Fri Nov 01 22:40:03 2024	1730515203	0	3	4	2
Fri Nov 01 22:39:59 2024	1730515199	0	4	4	3
Fri Nov 01 22:39:54 2024	1730515194	0	4	4	2
Fri Nov 01 22:40:00 2024	1730515200	0	3	4	3
Fri Nov 01 22:39:54 2024	1730515194	0	4	4	2
Fri Nov 01 22:40:00 2024	1730515200	0	3	4	2
Fri Nov 01 22:39:59 2024	1730515199	0	3	4	2
Fri Nov 01 22:39:54 2024	1730515194	0	4	4	2
Fri Nov 01 22:39:54 2024	1730515194	0	4	4	2
Fri Nov 01 22:39:57 2024	1730515197	0	3	4	2
Fri Nov 01 22:39:55 2024	1730515195	0	3	4	3
Fri Nov 01 22:39:57 2024	1730515197	0	4	4	2
Fri Nov 01 22:40:03 2024	1730515203	0	4	4	2
Fri Nov 01 22:39:55 2024	1730515195	0	4	4	2
Fri Nov 01 22:39:59 2024	1730515199	0	4	4	2
Fri Nov 01 22:39:54 2024	1730515194	0	4	4	2
Fri Nov 01 22:40:03 2024	1730515203	0	3	4	1
Fri Nov 01 22:40:03 2024	1730515203	0	4	4	2
Fri Nov 01 22:39:55 2024	1730515195	0	4	4	2
Fri Nov 01 22:39:56 2024	1730515196	0	3	4	2
Fri Nov 01 22:39:54 2024	1730515194	0	4	4	3
Fri Nov 01 22:39:55 2024	1730515195	0	4	4	3
Fri Nov 01 22:39:56 2024	1730515196	0	4	4	2
Fri Nov 01 22:40:01 2024	1730515201	0	4	4	2
Fri Nov 01 22:40:03 2024	1730515203	0	4	4	2
Fri Nov 01 22:39:55 2024	1730515195	0	4	4	3
Fri Nov 01 22:39:58 2024	1730515198	0	3	4	2
Fri Nov 01 22:39:54 2024	1730515194	0	4	4	3
Fri Nov 01 22:40:03 2024	1730515203	0	3	4	1
Fri Nov 01 22:40:00 2024	1730515200	0	3	4	2
Fri Nov 01 22:39:56 2024	1730515196	0	4	4	3
Fri Nov 01 22:39:54 2024	1730515194	0	4	4	4
Fri Nov 01 22:39:54 2024	1730515194	0	4	4	3
Fri Nov 01 22:39:54 2024	1730515194	0	4	4	2
Fri Nov 01 22:39:59 2024	1730515199	0	4	4	2
Fri Nov 01 22:39:54 2024	1730515194	0	3	4	1
Fri Nov 01 22:39:54 2024	1730515194	0	4	4	2
Fri Nov 01 22:39:57 2024	1730515197	0	4	4	3
Fri Nov 01 22:39:55 2024	1730515195	0	4	4	2
Fri Nov 01 22:39:54 2024	1730515194	0	4	4	2
Fri Nov 01 22:39:55 2024	1730515195	0	4	4	2
Fri Nov 01 22:39:57 2024	1730515197	0	4	4	1
Fri Nov 01 22:40:01 2024	1730515201	0	4	4	3
Fri Nov 01 22:39:54 2024	1730515194	0	4	4	2
Fri Nov 01 22:39:54 2024	1730515194	0	4	4	2
Fri Nov 01 22:39:55 2024	1730515195	0	4	4	2
Fri Nov 01 22:39:54 2024	1730515194	0	4	4	3
Fri Nov 01 22:39:58 2024	1730515198	0	4	4	3
Fri Nov 01 22:39:54 2024	1730515194	0	4	4	2
Fri Nov 01 22:39:55 2024	1730515195	0	4	4	2
Fri Nov 01 22:40:03 2024	1730515203	0	4	4	2
Fri Nov 01 22:39:53 2024	1730515193	0	4	4	2
Fri Nov 01 22:39:59 2024	1730515199	0	4	4	2
Fri Nov 01 22:40:00 2024	1730515200	0	4	4	3
Fri Nov 01 22:39:54 2024	1730515194	0	4	4	2
Fri Nov 01 22:39:56 2024	1730515196	0	4	4	3
Fri Nov 01 22:39:59 2024	1730515199	0	4	4	2
Fri Nov 01 22:39:53 2024	1730515193	1	3	4	1
Fri Nov 01 22:39:59 2024	1730515199	0	4	4	2
Fri Nov 01 22:39:54 2024	1730515194	0	4	4	2
Fri Nov 01 22:39:54 2024	1730515194	0	4	4	2
Fri Nov 01 22:39:54 2024	1730515194	0	4	4	3
Fri Nov 01 22:39:54 2024	1730515194	0	4	4	2
Fri Nov 01 22:39:59 2024	1730515199	0	4	4	2
Fri Nov 01 22:39:59 2024	1730515199	0	4	4	3
Fri Nov 01 22:39:58 2024	1730515198	0	3	4	2
Fri Nov 01 22:39:54 2024	1730515194	0	4	4	2
Fri Nov 01 22:39:54 2024	1730515194	0	4	4	2
Fri Nov 01 22:40:03 2024	1730515203	0	4	4	2
Fri Nov 01 22:39:59 2024	1730515199	0	4	4	2
Fri Nov 01 22:39:57 2024	1730515197	0	4	4	4
Fri Nov 01 22:39:59 2024	1730515199	0	4	4	2
Fri Nov 01 22:39:55 2024	1730515195	0	3	4	2
Fri Nov 01 22:40:01 2024	1730515201	0	4	4	3
Fri Nov 01 22:39:56 2024	1730515196	0	4	4	2
Fri Nov 01 22:40:03 2024	1730515203	0	3	4	1
Fri Nov 01 22:39:55 2024	1730515195	0	4	4	2
Fri Nov 01 22:39:56 2024	1730515196	0	4	4	3
Fri Nov 01 22:40:03 2024	1730515203	0	4	4	2
Fri Nov 01 22:39:56 2024	1730515196	0	4	4	3
Fri Nov 01 22:39:54 2024	1730515194	0	4	4	2
Fri Nov 01 22:39:55 2024	1730515195	0	4	4	2
Fri Nov 01 22:40:01 2024	1730515201	0	4	4	2
Fri Nov 01 22:40:02 2024	1730515202	0	4	4	2
Fri Nov 01 22:39:59 2024	1730515199	0	4	4	3
Fri Nov 01 22:39:56 2024	1730515196	0	3	4	2
Fri Nov 01 22:40:00 2024	1730515200	0	4	4	2
Fri Nov 01 22:39:59 2024	1730515199	0	4	4	3
Fri Nov 01 22:39:54 2024	1730515194	0	4	4	3
Fri Nov 01 22:40:01 2024	1730515201	0	4	4	3
Fri Nov 01 22:39:59 2024	1730515199	0	4	4	3
Fri Nov 01 22:40:03 2024	1730515203	0	4	4	3
Fri Nov 01 22:39:59 2024	1730515199	0	4	4	3
Fri Nov 01 22:40:02 2024	1730515202	0	4	4	2
Fri Nov 01 22:39:55 2024	1730515195	0	4	4	2
Fri Nov 01 22:39:56 2024	1730515196	0	4	4	3
Fri Nov 01 22:39:54 2024	1730515194	0	4	4	2
Fri Nov 01 22:39:54 2024	1730515194	0	4	4	3
Fri Nov 01 22:40:01 2024	1730515201	0	4	4	4
Fri Nov 01 22:40:00 2024	1730515200	0	4	4	2
Fri Nov 01 22:39:55 2024	1730515195	0	4	4	2
Fri Nov 01 22:39:54 2024	1730515194	0	4	4	3
Fri Nov 01 22:39:59 2024	1730515199	0	4	4	2
Fri Nov 01 22:39:59 2024	1730515199	1	3	4	2
Fri Nov 01 22:39:56 2024	1730515196	0	4	4	3
Fri Nov 01 22:39:53 2024	1730515193	0	4	4	3
Fri Nov 01 22:39:59 2024	1730515199	0	4	4	2
Fri Nov 01 22:39:59 2024	1730515199	0	4	4	2
Fri Nov 01 22:39:59 2024	1730515199	0	4	4	2
Fri Nov 01 22:39:57 2024	1730515197	0	4	4	2
Fri Nov 01 22:39:57 2024	1730515197	0	4	4	2
Fri Nov 01 22:39:56 2024	1730515196	0	4	4	3
Fri Nov 01 22:40:03 2024	1730515203	0	4	4	2
Fri Nov 01 22:39:58 2024	1730515198	0	4	4	2
Fri Nov 01 22:39:55 2024	1730515195	0	4	4	2
Fri Nov 01 22:39:59 2024	1730515199	0	4	4	2
Fri Nov 01 22:39:59 2024	1730515199	0	3	4	1
Fri Nov 01 22:39:55 2024	1730515195	0	4	4	2
