[2024-11-01 01:48:13] [INFO] Server is starting...
[2024-11-01 01:48:13] [INFO] Connected to proxy server at 142.1.46.81:8081
[2024-11-01 01:48:13] [INFO] Sent awake signal to proxy server at 142.1.46.81:8081
[2024-11-01 01:48:15] [INFO] Handling request from: /142.1.46.82 on thread: null
[2024-11-01 01:48:25] [INFO] Handling request from: /142.1.46.82 on thread: null
[2024-11-01 01:48:35] [INFO] Handling request from: /142.1.46.82 on thread: null
[2024-11-01 01:51:49] [INFO] Server is starting...
[2024-11-01 01:51:49] [INFO] Connected to proxy server at 142.1.46.81:8081
[2024-11-01 01:51:49] [INFO] Sent awake signal to proxy server at 142.1.46.81:8081
[2024-11-01 01:51:49] [INFO] Handling request from: /142.1.46.83 on thread: PUT /?short=pRVqnZ5Z5dLzP2yTPGWC&long=http://q4g5WdQBErWct1P0kPpdKuoZuwJovz749MYWTCNezhZt7VeUOqj48hrEgVvbNN8Yl3jQrVwPiy8TlYmIAAGFW2x2YRGImJ8Lkk75&hash=3557&db=R HTTP/1.1
[2024-11-01 01:51:49] [INFO] Handling request from: /142.1.46.83 on thread: PUT /?short=XxwX7BbiordCFRq5Yxte&long=http://zNf05tI62qn1GbrQvhDqWeHa5r11FRAYCtqvQ0Ss32c67KH1lBXDky85z3tJgb6dVIs48oLrYHLMWRr1nUwUUZWHuhPZBMaUbkmK&hash=3669&db=R HTTP/1.1
[2024-11-01 01:51:49] [INFO] Handling request from: /142.1.46.83 on thread: PUT /?short=xec0D4qUjqu4ygooZzLq&long=http://4I83I6W04Y2sq0verJdHFIuKp8JbcVTGOLlctNd0Qj165iRux6ylTDocN9Bep4sFDhIGqBoVfiz7ZRSMRAakacAG5PzfwuAEyJJv&hash=3785&db=R HTTP/1.1
[2024-11-01 01:51:49] [INFO] Handling request from: /142.1.46.83 on thread: PUT /?short=WEpGxugbF0XJNj5BFyR8&long=http://JpfZLEH41CVIw4PNB6FLzKbMhZEk30ro3OIxhl3J1o7WpQraFoDNWsbOJ9NCOoWs4MAya9aBsv1BQozL2W2k6G9MGpURElMQM31p&hash=4011&db=R HTTP/1.1
[2024-11-01 01:51:49] [INFO] Handling request from: /142.1.46.83 on thread: PUT /?short=e3TLWKmSMBB9hFg8x0Yc&long=http://r7brULVB2xo3BcGkFo9f4lFTcUPSkK5kp0VhwC3tMuUjwcrw0doZikBrw7kaDwOQHn1qyE0pbWchnhxNNCQ9LHRA1WfkeRKFsAf3&hash=4685&db=R HTTP/1.1
[2024-11-01 01:51:49] [INFO] Handling request from: /142.1.46.83 on thread: PUT /?short=sROKK1ZqMdai6G5PSWaA&long=http://irLaqsvz0oTvTchfoc3OdxD4zVWf33h5Ttl4D2yS7XZT38Bw2XHx5D3L3KR1owCZZn1kkLXBvy5zh2gSaD4o6gKIJAuk0BbosO6G&hash=2697&db=R HTTP/1.1
[2024-11-01 01:51:49] [INFO] Handling request from: /142.1.46.83 on thread: PUT /?short=xD0DQOU20vEtFLCGYqNH&long=http://M0BxDDgXNcY7GUoiXganmPOIpFhF1jiU2gfrfP1WLXZwTeboK32hBheKI76FYfasUTZnZ6Pi9i9AX4ZVjObCzhBxWBAvALjU1MEM&hash=3044&db=R HTTP/1.1
[2024-11-01 01:51:49] [INFO] Handling request from: /142.1.46.83 on thread: PUT /?short=7dlgJ8YP5axLTf1AV9nL&long=http://kxaNOzxeIWE6u83vpp5u6IpsW8QghIeNA0i2TRYjplthc9gT8mxiItclqELshhDneeE1BPzmgotW3HDsxLNb99j57fH4yJaxfeLt&hash=3888&db=R HTTP/1.1
[2024-11-01 01:51:49] [INFO] Handling request from: /142.1.46.83 on thread: PUT /?short=Ah8KKEEbtBFCVoTSSdBS&long=http://nJwQhWeB4OEX2RpX8piKdsEeuyvYFNKs7ZpB1CSrPdcW3Y8Lkl70FzHEPh90rExo1uNsLm8EHpw5Sok2TMFp4tYvV7ln8UMkhLWf&hash=3430&db=R HTTP/1.1
[2024-11-01 01:51:49] [INFO] Handling request from: /142.1.46.83 on thread: PUT /?short=TnvkgGqmQsT4WEMStbnf&long=http://xkMpvRDbi3Rs5PlywNrLwk9CWN7VxKsCU717MdSAqfZnaeDutsYDFquZgKreLQVARSA4pNwnfLnKR6k6FPoF8KWHve4bEaUfdXmf&hash=2631&db=R HTTP/1.1
